HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288122,341055,189084,189379,0,,0,,160,,351,,March 2006,June 2003,2003
BIG SANDY (3),AZ0004,192142,243889,192142,243889,0,,0,,139,,250,,March 2006,November 2009,2003
BLACK MOUNTAIN,AZ0003,574242,1093128,543307,773136,0,,0,,478,,800,,May 2010,October 2011,2001
CERBAT MOUNTAINS,AZ0002,60420,83006,60420,83006,90,,60,,0,,0,,August 2006,February 2001,2012
CIBOLA-TRIGO,AZ0011,281023,1034422,185132,634218,150,,367,,285,,805,,May 2010,July 2011,2002
HAVASU (3),AZ0010,308496,409901,267286,269168,0,,0,,166,,142,,March 2006,January 2012,2012
LAKE PLEASANT,AZ0006,60836,103473,60836,103473,0,,0,,208,,411,,August 2008,February 2011,2001
HARQUAHALA,AZ0008,117467,126256,,,,,0,,,,100,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,65893,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31288,38737,,,,,0,,,,5,,,January 2008,
TASSI-GOLD BUTTE,AZ0001,53046,103437,,,,,0,,,,30,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,75,,,,300,,,March 2002,
BITNER (from CA0268),CA0267,0,0,47766,53748,25,,15,,0,,0,,June 2011,October 2011,2012
BUCKHORN (from CA0270),CA0262,0,0,67415,76590,85,,88,,0,,0,,July 2010,December 2009,2012
CARTER RESERVOIR (from CA0260),CA0269,0,0,21591,23468,35,,95,,0,,0,,June 2011,September 2009,2011
CENTENNIAL,CA0654,356267,1027948,71350,318499,34,,40,,0,,69,,May 2010,September 2011,2008
CHEMEHUEVI,CA0698,377572,408645,128861,138333,0,,0,,121,,143,,March 2001,August 2011,2010
CHICAGO VALLEY,CA0681,312055,333386,258867,278105,12,,6,,0,,0,,January 2011,October 2010,2012
CHOCOLATE-MULE MOUNTAINS,CA0671,340595,595429,192220,203539,0,,0,,133,,144,,March 2010,October 2008,2012
COPPERSMITH (from CA0270),CA0261,0,0,60246,73422,75,,64,,0,,0,,July 2010,December 2009,2012
FORT SAGE,CA0241,13666,15967,13666,15967,29,,67,,0,,0,,July 2011,September 1998,2001
FOX HOG,CA0263,121541,127577,121086,127122,220,,126,,0,,0,,June 2011,November 2011,2012
HIGH ROCK,CA0264,209245,213156,94612,94708,120,,78,,0,,0,,June 2011,November 2011,2012
LEE FLAT,CA0652,135616,137872,71964,73380,0,,0,,15,,0,,October 2009,October 2001,2012
MASSACRE LAKES,CA0268,118566,129336,36084,39942,35,,172,,0,,0,,June 2011,October 1988,1988
NEW RAVENDALE,CA0243,23428,32137,23428,32137,25,,24,,0,,0,,November 2009,September 2009,2012
NUT MOUNTAIN (from CA0264 & CA0268),CA0266,0,0,38396,40245,55,,31,,0,,0,,June 2011,October 2011,2012
PIPER MOUNTAIN,CA0656,95649,104015,87909,96261,17,,0,,82,,0,,February 2010,September 1993,2012
RED ROCK LAKES,CA0251,13413,18541,13413,18541,25,,23,,0,,0,,October 2010,February 2011,2012
TWIN PEAKS,CA0242,635356,758128,635356,758128,758,,952,,116,,192,,September 2010,September 2010,2006
WALL CANYON (from CA0264),CA0265,0,0,39119,41158,25,,34,,0,,0,,June 2011,October 2011,2007
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464303,470238,22098,22670,0,,0,,11,,33,,April 2011,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7635,7759,7635,7759,10,,27,,0,,0,,,October 2009,2005
CIMA DOME,CA0695,90433,93201,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217189,233351,,,,,0,,,,78,,,January 2007,
COYOTE CANYON,CA0663,8319,21609,,,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38581,42759,,,,,0,,,,52,,,April 1982,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174208,192740,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,14024,,,,,0,,,,0,,,January 1990,
