HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (4),AZ0005,288122,341055,189084,189379,0,0,0,,128,160,469,3,April 2012,June 2003,2003
BIG SANDY (4),AZ0004,192142,243889,192142,243859,0,0,0,,111,139,900,7,April 2012,August 2013,2003
BLACK MOUNTAIN,AZ0003,574242,1093128,543307,773136,0,0,0,,382,478,1000,2,May 2010,April 2012,2001
CERBAT MOUNTAINS,AZ0002,60420,83006,60420,83006,72,90,58,1,0,0,0,,August 2006,July 2007,2014
CIBOLA-TRIGO,AZ0011,281023,1034422,185132,634218,120,150,200,1,228,285,750,3,May 2010,June 2012,2002
HAVASU (4),AZ0010,308496,409901,267286,269168,0,0,0,,133,166,155,,April 2012,September 2013,2014
LAKE PLEASANT,AZ0006,60836,103473,60836,103473,0,0,0,,166,208,549,3,August 2008,July 2007,2001
HARQUAHALA,AZ0008,117467,126256,,,,,0,,,,133,,,June 2002,
LIT(LE HARQUAHALA MOUNTAINS,AZ0009,51945,65893,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31288,38737,,,,,0,,,,5,,,June 2007,
TASSI-GOLD BUTTE,AZ0001,53046,103437,,,,,0,,,,50,,,August 2006,
OUTSIDE OF HERD AREAS (7),AZ000Z,,,,,,,75,,,,400,,,November 2009,
BITNER (horn CA0268),CA0267,0,0,47766,63748,15,25,22,Within AML,0,0,0,,June 2011,October 2011,2014
BUOKHORN (trom-CA0270),CA0262,0,0,67415,6590,59,85,127,I49%,0,0,0,,July 2010,December 2009,2012
CARTER RESERVOIR (from CA0260),CA0269,0,0,21291,23468,25,35,137,4,0,0,0,,June 2011,September 2009,2011
CENTENNIAL (4),CA0654,356267,1027948,71350,318499,134,168,632,4,0,0,167,,May 2010,September 2012,2008
CHEMEHUEVI,CA0698,377572,405645,128161,138333,0,0,0,,97,105,218,2,May 2012,August 2011,2010
CHICAGO VALLEY,CA0681,312055,333350,258567,209150,10,12,6,1,0,0,0,,January 2011,September 2007,2014
CHOCOLATE-MULE MOUNTAINS,CA0671,340595,595425,192220,203539,0,0,0,,109,133,208,2,March 2010,October 2008,2012
COPPERSMITH (from CA0270),CA0261,0,0,60246,73422,50,75,92,1,5,0,0,,July 2010,December 2009,2012
FORT SAGE,CA0241,13658,15987,13666,15967,24,29,43,148,0,0,0,,June 2011,September 1990,2001
