HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
CHOCOLATE-MULE MOUNTAINS,CA0671,340947,595856,150757,159161,0,,0,,121,,104,,,March 2006,2006
COPPERSMITH,CA0261,60114,73330,60114,73330,75,,78,,0,,0,,,July 2005,2005
FORT SAGE,CA0241,13649,15906,13649,15906,65,,50,,0,,0,,,September 1988,2001
FOX HOG,CA0263,92223,96800,92223,96800,220,,144,,0,,0,,,August 2005,2005
HIGH ROCK,CA0264,138510,139037,94606,94700,120,,124,,0,,0,,,September 2006,2006
LEE FLAT,CA0652,133360,135509,71940,73248,0,,0,,15,,0,,,October 2001,2006
MASSACRE LAKES,CA0268,63077,65658,35872,37350,20,,131,,0,,0,,,October 1988,1988
NEW RAVENDALE,CA0243,23451,32182,9348,14896,25,,49,,0,,0,,,July 2004,2004
NUT MOUNTAIN,CA0266,38327,40120,38327,40120,55,,179,,0,,0,,,October 2000,2001
PALM CANYON,CA0662,2758,9531,2758,9531,6,,0,,0,,0,,,August 2002,2002
PIPER MOUNTAIN,CA0656,95937,104334,87876,96188,17,,0,,82,,0,,,April 1994,
RED ROCK LAKES,CA0251,13464,18610,13464,18610,25,,89,,0,,0,,,September 2003,2004
TWIN PEAKS,CA0242,636231,758072,636231,758072,758,,779,,116,,86,,,August 2006,2006
WALL CANYON,CA0265,38909,41152,38909,41152,25,,82,,0,,0,,,November 2001,2004
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464307,470239,22042,22579,0,,0,,11,,13,,,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7637,7730,7637,7730,10,,12,,0,,0,,,August 2004,2005
CIMA DOME,CA0695,90429,93201,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217231,233370,,,,,0,,,,45,,,January 2007,
COYOTE CANYON,CA0663,285,21420,,,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38580,42758,,,,,0,,,,29,,,April 1982,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174209,192742,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,14024,,,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,170681,179245,,,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27438,38536,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (in CA0269),CA0260,256352,316269,,,,,0,,,,0,,,,
PANAMINT,CA0653,360407,414699,,,,,0,,,,30,,,March 2004,
PICACHO (within CA0671),CA0672,0,0,,,,,0,,,,0,,,November 2002,
PIUTE MOUNTAIN,CA0696,37335,39780,,,,,0,,,,29,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233152,240580,,,,,0,,,,0,,,May 1995,
SHAFFER MOUNTAIN,CA0240,29358,36868,,,,,0,,,,0,,,,
SLATE RANGE,CA0655,75713,512962,,,,,0,,,,30,,,January 2007,
TULEDAD (in CA0261 & CA0262),CA0270,2933,5304,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46343,56544,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS,CA000Z,,0,,,,,107,,,,50,,,January 2007,
LITTLE BOOK CLIFFS WILD HORSE RANG ,CO0766,51086,52687,35205,36130,150,,141,,,,0,,,October 2004,2005
PICEANCE-EAST DOUGLAS CREEK,CO0161,158281,190022,158281,190022,235,,206,,,,0,,,September 2006,2006
SAND WASH BASIN,CO0143,151548,156640,151548,156640,362,,202,,,,0,,,September 2005,2005
SPRING CREEK BASIN,CO0384,43101,54601,21064,21962,65,,94,,,,0,,,August 2005,2005
DOUGLAS MOUNTAIN,CO0144,65829,76721,,,,,0,,,,0,,,,
NATURITA RIDGE,CO0345,53803,63293,,,,,0,,,,0,,,,
NORTH PICEANCE (in CO0161),CO0163,76959,89355,,,,,12,,,,0,,,September 2006,
WEST DOUGLAS CREEK,CO0162,123341,128093,,,,,101,,,,0,,,October 2006,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,15,,,,0,,,September 2006,
BLACK MOUNTAIN,ID0006,46636,51353,46546,50903,60,,73,,0,,0,,,August 2005,2005
CHALLIS,ID0005,156563,167851,156563,167851,253,,265,,0,,0,,,August 2004,2004
FOUR MILE,ID0002,21002,25805,15995,18035,60,,71,,0,,0,,,November 2003,2004
HARD TRIGGER,ID0007,62159,69881,60118,67815,130,,208,,0,,0,,,November 2003,2004
SAND BASIN,ID0004,9448,11715,9448,11715,64,,60,,0,,0,,,October 2003,2004
SAYLOR CREEK,ID0003,89237,101875,89237,101875,50,,126,,0,,0,,,August 2005,2005
MORGAN CREEK,ID0009,21230,24046,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,13899,14792,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8247,10338,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
PRYOR MOUNTAIN WILD HORSE RANGE  ,MT0251,28282,37147,28282,37147,105,,154,,0,,0,,,September 2003,1997
BARTON GULCH,MT0253,8087,18483,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16414,68464,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6587,11762,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13351,26251,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25552,39367,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6088,22129,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,0,,,,0,,,September 2003,
AMARGOSA VALLEY,NV0511,8172,8901,8172,8901,0,,0,,0,,0,,,April 1990,1990
ANTELOPE,NV0401,393070,400638,393070,400638,324,,230,,0,,0,,,January 2005,2005
ANTELOPE VALLEY,NV0107,496360,502914,496360,502914,259,,240,,0,,0,,,January 2005,2005
APPLEWHITE,NV0518,30641,30969,30641,30969,1,,5,,0,,0,,,,2001
ASH MEADOWS,NV0509,97831,115492,97831,115492,0,,0,,0,,0,,,December 1993,1993
AUGUSTA MOUNTAINS,NV0311,311852,315980,176292,177639,308,,297,,0,,0,,,September 2003,2003
BALD MOUNTAIN,NV0603,139698,139880,139698,139880,215,,338,,0,,0,,,July 1981,
BLACK ROCK RANGE EAST,NV0209,89565,93438,89565,93438,93,,74,,0,,0,,,November 2004,2005
BLACK ROCK RANGE WEST,NV0227,91095,92994,91095,92994,93,,76,,0,,0,,,December 2004,2005
BLUE NOSE PEAK,NV0514,84622,84788,84622,84788,1,,5,,0,,0,,,,
BLUE WING MOUNTAINS,NV0217,17854,17854,17854,17854,36,,20,,28,,19,,,November 2005,2006
BUCK-BALD**,NV0403,825611,838925,825611,838925,423,,350,,0,,0,,,August 2006,2006
BUFFALO HILLS,NV0220,124233,131860,124233,131860,314,,405,,0,,0,,,February 2005,2002
BULLFROG,NV0629,147322,157203,142101,151777,12,,0,,185,,32,,,August 1996,
BUTTE,NV0407,436712,443959,436712,443959,95,,80,,0,,0,,,August 2006,2006
CALICO MOUNTAINS,NV0222,157722,160137,157722,160137,333,,264,,0,,0,,,January 2005,2005
CALLAGHAN,NV0604,152723,156237,152723,156237,237,,669,,0,,0,,,August 2002,
CHERRY CREEK,NV0406,35744,37275,35744,37275,0,,5,,0,,0,,,,
CLAN ALPINE,NV0310,298649,302226,298649,302226,979,,534,,0,,0,,,October 2006,2007
CLOVER CREEK,NV0517,33235,33420,33235,33420,14,,10,,0,,0,,,,2001
CLOVER MOUNTAINS,NV0516,172398,173087,172397,173087,16,,30,,0,,0,,,February 2006,2001
DEER LODGE CANYON,NV0521,106735,108460,106735,108460,50,,30,,0,,0,,,February 2007,2007
DELAMAR MOUNTAINS,NV0515,184404,185844,184404,185844,85,,35,,0,,0,,,February 2006,2006
DESATOYA,NV0606,157904,161737,157904,161737,180,,159,,0,,0,,,February 2004,2004
DIAMOND,NV0609,168950,211959,145388,166054,151,,110,,0,,0,,,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70550,71534,70550,71534,36,,54,,0,,0,,,August 2004,2004
DIAMOND HILLS SOUTH,NV0412,20915,20915,20915,20915,22,,20,,0,,0,,,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,6524,6497,6524,15,,13,,0,,0,,,December 2005,2006
DRY LAKE,NV0410,491675,494371,491675,494371,94,,75,,0,,0,,,February 2007,2007
EL DORADO MOUNTAINS,NV0501,15039,95223,15031,16521,0,,0,,0,,0,,,March 2007,2007
FISH CREEK,NV0612,266193,270382,250331,252826,180,,67,,0,,1,,,February 2006,2006
FISH LAKE VALLEY**,NV0622,63830,67124,63797,67085,54,,42,,0,,0,,,January 2005,2005
FLANIGAN,NV0301,16260,17147,16260,17147,125,,101,,0,,0,,,August 2001,2001
FOX-LAKE RANGE,NV0228,172440,177724,172440,177724,204,,158,,0,,0,,,January 2005,2005
GARFIELD FLAT,NV0313,125423,142715,125423,142715,125,,95,,0,,0,,,August 2005,2005
GOLD BUTTE,NV0502,169224,271210,169204,178443,0,,0,,98,,31,,,March 2007,2007
GOLD MOUNTAIN,NV0628,106524,107638,106524,107638,0,,4,,78,,1,,,August 1996,2001
GOLDFIELD,NV0626,54256,63352,53271,62367,125,,6,,50,,17,,,November 1996,2001
GOSHUTE,NV0108,290153,303170,265272,267277,123,,108,,0,,0,,,January 2005,2005
GRANITE PEAK,NV0303,3981,4002,3981,4002,18,,14,,0,,0,,,October 2002,2004
GRANITE RANGE,NV0221,90790,103806,90790,103806,258,,208,,0,,0,,,February 2005,2005
HIGHLAND PEAK,NV0522,136090,137875,136091,137875,33,,25,,0,,0,,,December 2006,2007
HORSE MOUNTAIN,NV0308,49570,49780,49570,49780,95,,0,,0,,0,,,July 2000,2000
HOT CREEK,NV0616,79894,80761,54304,54657,41,,3,,0,,0,,,January 2006,2006
JACKSON MOUNTAINS,NV0208,275300,283699,275300,283699,217,,305,,0,,0,,,February 2003,2003
JAKES WASH,NV0408,153662,153662,153662,153662,21,,60,,0,,0,,,August 2004,2004
JOHNNIE**,NV0510,177310,179380,177310,179380,0,,39,,108,,90,,,January 2007,2007
KAMMA MOUNTAINS,NV0214,54410,57390,54410,57390,77,,53,,0,,0,,,November 2005,2006
LAHONTAN,NV0306,6953,9400,6953,9400,10,,37,,0,,0,,,February 2004,2004
LAVA BEDS,NV0215,232928,232999,232880,232948,148,,102,,16,,18,,,November 2005,2006
LITTLE FISH LAKE**,NV0614,113365,116284,28156,28739,39,,29,,0,,0,,,February 2006,2006
LITTLE HUMBOLDT,NV0102,52538,63944,15734,17152,80,,10,,0,,0,,,September 2006,2006
LITTLE MOUNTAIN,NV0519,53035,53257,53035,53257,15,,60,,0,,0,,,September 2002,2004
LITTLE OWYHEE,NV0200,454384,460129,454384,460129,298,,376,,0,,0,,,September 2004,2004
MARIETTA WILD BURRO RANGE,NV0316,64476,66056,64476,66056,0,,0,,104,,92,,,August 1999,2001
MAVERICK-MEDICINE,NV0105,318575,323480,318575,323480,276,,190,,0,,0,,,August 2006,2006
MCGEE MOUNTIAN,NV0210,41071,41112,41071,41112,0,,0,,41,,32,,,March 2006,2006
MEADOW VALLEY MOUNTAINS,NV0513,94519,97449,94519,97449,0,,5,,0,,0,,,February 2006,
MILLER FLAT,NV0520,91751,91988,91751,91988,15,,50,,0,,0,,,September 2002,2002
MONTE CRISTO**,NV0402,372653,378263,372653,378263,236,,145,,0,,0,,,January 2006,2006
MONTEZUMA PEAK,NV0625,76557,77930,76557,77930,146,,37,,10,,21,,,November 1996,2001
MORIAH**,NV0413,43375,43375,43375,43375,29,,30,,0,,0,,,August 2004,2004
MUDDY MOUNTAINS,NV0503,82709,187310,75856,78581,0,,1,,0,,0,,,January 2001,2007
NEVADA WILD HORSE RANGE,NV0524,10,1301638,10,1301638,500,,1114,,0,,0,,,January 2004,2004
NEW PASS-RAVENSWOOD,NV0602,259099,260357,259099,260357,476,,571,,0,,0,,,November 1999,1999
NIGHTENGALE MOUNTAINS,NV0219,72754,76444,72754,76444,63,,46,,0,,3,,,November 2005,2006
NORTH STILLWATER,NV0229,176854,178935,176854,178935,205,,370,,0,,1,,,February 2003,
OWYHEE,NV0101,336260,338286,336260,338286,231,,375,,0,,0,,,September 2006,2003
PALMETTO,NV0624,117577,118279,117577,118279,76,,0,,0,,0,,,,
PAYMASTER,NV0621,99919,100591,99919,100591,43,,31,,0,,0,,,September 2006,2006
PILOT MOUNTAIN,NV0314,475449,477136,475449,477136,415,,286,,0,,0,,,July 2006,2006
PINE NUT MOUNTAINS,NV0305,182668,251893,94694,104318,179,,146,,0,,0,,,July 2003,2003
RATTLESNAKE,NV0523,71433,71433,71433,71433,1,,0,,0,,0,,,December 2006,2007
RED ROCK**,NV0504,157251,161972,157251,161972,27,,25,,49,,29,,,February 2006,2002
REVEILLE,NV0619,387558,388555,104515,105494,138,,49,,0,,0,,,February 2007,2007
ROBERTS MOUNTAIN,NV0607,221927,225908,99322,99992,150,,372,,0,,0,,,July 2001,2001
ROCK CREEK,NV0103,145143,183500,98526,121428,250,,220,,0,,0,,,September 2006,2004
ROCKY HILLS,NV0605,81477,84008,81477,84008,143,,128,,0,,0,,,November 1999,2001
SAND SPRINGS EAST,NV0405,481220,481725,481220,481725,257,,145,,0,,0,,,February 2006,2006
SAND SPRINGS WEST,NV0630,173349,173365,157438,157438,49,,56,,0,,0,,,January 2006,2006
SAULSBURY**,NV0620,143397,144267,135261,135297,40,,27,,0,,0,,,February 2007,2007
SEAMAN,NV0411,359351,361235,359351,361235,159,,145,,0,,0,,,September 1996,2001
SEVEN MILE**,NV0613,104001,104881,96771,97651,50,,40,,0,,0,,,February 2006,2006
SEVEN TROUGHS,NV0216,131409,148883,131388,148862,156,,108,,46,,47,,,November 2005,2006
SHAWAVE MOUNTAINS,NV0218,87790,107078,87790,107078,73,,52,,0,,0,,,November 2006,2006
SILVER PEAK,NV0623,239701,242174,239701,242174,0,,2,,6,,0,,,October 2006,2007
SNOWSTORM MOUNTAINS,NV0201,103469,116837,103469,116837,140,,135,,0,,0,,,September 2006,2006
SOUTH SHOSHONE,NV0601,142761,150924,128238,133098,100,,299,,0,,0,,,,
SOUTH STILLWATER,NV0309,9773,9773,9773,9773,16,,15,,0,,0,,,,2005
SPRUCE-PEQUOP,NV0109,309466,328887,231325,240745,,,72,,0,,0,,,January 2005,2005
STONE CABIN**,NV0618,405855,410082,403316,407543,,,154,,0,,0,,,February 2007,2007
STONEWALL,NV0627,23782,23888,23782,23888,,,0,,25,,0,,,June 1986,2001
TOBIN RANGE,NV0231,187163,198262,187163,198262,,,146,,0,,0,,,,
WARM SPRINGS CANYON,NV0226,90866,91707,90866,91707,,,139,,24,,21,,,November 2004,2005
WASSUK,NV0312,51616,51744,51616,51744,,,81,,0,,0,,,September 2003,2003
WHEELER PASS**,NV0507,273260,276904,273260,276904,,,18,,35,,19,,,January 2007,2007
WHISTLER MOUNTAIN,NV0608,42664,43246,42664,43246,,,28,,0,,0,,,,2004
WHITE RIVER,NV0409,118633,118633,114590,114590,,,80,,0,,0,,,February 2005,2005
WILSON CREEK,NV0404,670786,686490,670786,686490,,,130,,0,,0,,,February 2007,2007
HICKISON SUMMIT*,NV0610,63334,63334,63334,63334,,,1,,45,,38,,,,
MONTGOMERY PASS*,NV0317,76331,79203,47424,49063,,,68,,0,,0,,,,
NORTH MONITOR*,NV0611,11277,11512,11277,11512,,,9,,0,,0,,,February 2006,2006
ANTELOPE RANGE,NV0211,82068,131583,,,,,3,,,,0,,,October 1999,
AUSTIN (in NV0604),NV0687,0,0,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44876,74079,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BULTER BASIN*,NV0686,10342,10345,,,,,0,,,,0,,,,
CAVE VALLEY (in NV0410),NV0493,0,0,,,,,0,,,,0,,,,
DOBBIN SUMMIT***,NV0615,19189,19307,,,,,0,,,,0,,,,
DUNLAP (in NV0314),NV0690,4296,4296,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321615,451901,,,,,20,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49197,86093,,,,,0,,,,0,,,June 1993,
FORTIFICATION (in NV0404),NV0496,0,0,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (in NV314),NV0315,0,0,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (in NV0411),NV0494,0,0,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,0,0,,,,,0,,,,0,,,,
GRASS VALLEY (in NV0604),NV0689,0,0,,,,,0,,,,0,,,,
HORSE SPRING,NV0307,15280,25695,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47870,68179,,,,,0,,,,0,,,,
HUMBOLDT,NV0224,217069,431550,,,,,32,,,,0,,,July 1993,
IONE,NV0691,168434,168974,,,,,0,,,,0,,,,
KOBEH VALLEY (in NV0608 & NV0612),NV0698,29065,30982,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,34793,64192,,,,,0,,,,0,,,December 1985,
LAST CHANCE (in NV0510),NV0527,6352,28943,,,,,0,,,,0,,,,
LOWER PARADISE VALLEY,NV0233,17327,44895,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,0,,,,,0,,,,0,,,,
MAVRICK-BUTTE (in NV0403),NV0491,0,0,,,,,0,,,,0,,,,
(All claimed - not mapped),NV0617,0,0,,,,,0,,,,0,,,,
MORMON MOUNTAINS,NV0512,136558,136988,,,,,0,,,,0,,,January 1998,
MOUNT AIRY,NV0695,64801,67573,,,,,20,,,,0,,,,
MOUNT POTOSI (in NV0525),NV0506,,0,,,,,0,,,,0,,,,
MOUNT STERLING (in NV0510),NV0508,33865,34419,,,,,0,,,,0,,,March 1999,
NORTH CHERRY CREEK (in NV0105 & NV0107),NV0106,0,0,,,,,0,,,,0,,,December 1996,
NORTH SHOSHONE,NV0697,102888,175135,,,,,0,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,87394,142122,,,,,0,,,,0,,,,
PAH RAH MOUNTAINS,NV0304,11513,23522,,,,,0,,,,0,,,August 1985,
PARK MOUNTAIN,NV0694,32255,32314,,,,,0,,,,0,,,,
PATTERSON-EAGLE (in NV0404),NV0492,0,0,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,26705,30071,,,,,0,,,,0,,,,
QUINN***,NV0696,103973,105708,,,,,0,,,,0,,,,
SCHELL CREEK (in NV0401),NV0490,0,0,,,,,0,,,,0,,,,
SELENITE RANGE,NV0212,122630,125306,,,,,0,,,,1,,,December 2005,
SLUMBERING HILLS,NV0205,46008,46455,,,,,0,,,,0,,,,
SMITH CREEK (in NV0606),NV0688,0,0,,,,,0,,,,0,,,,
SONOMA RANGE,NV0223,150099,212589,,,,,0,,,,0,,,April 1987,
SOUTH PANCAKE,NV0692,75109,75109,,,,,0,,,,0,,,,
SOUTH SLUMBERING HILLS,NV0230,15797,30096,,,,,0,,,,0,,,December 1985,
SPRING MOUNTAIN (in NV0504 & NV0507),NV0525,342123,356592,,,,,0,,,,0,,,,
TOANO,NV0110,43811,67680,,,,,120,,,,0,,,October 1993,
TRINITY RANGE,NV0232,105759,161457,,,,,3,,,,0,,,December 2005,
TRUCKEE RANGE,NV0213,93318,171070,,,,,0,,,,0,,,,
TULE RIDGE/MAHOGANY FLAT,NV0319,4176,4404,,,,,0,,,,0,,,,
UPPER HOT CREEK,NV0693,88134,89196,,,,,0,,,,0,,,,
WILLOW CREEK (in NV0618),NV0699,0,0,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NV000Z,0,0,,,,,98,,,,15,,,February 2006,
BORDO ATRAVESADO,NM0001,16486,19614,16486,19614,60,,77,,0,,0,,,August 2005,2005
CARRACAS MESA*(3),NM0003,8019,8998,8019,8998,23,,12,,0,,0,,,,
GODFREY HILLS,NM0002,9405,27106,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54743,70809,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399185,438022,399185,438022,250,,151,,0,,0,,,August 2004,2004
COLD SPRING,OR0013,29877,32665,29877,32665,150,,90,,0,,0,,,July 2005,2005
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,611976,658952,552780,588429,390,,232,,0,,0,,,February 2006,2006
HOG CREEK,OR0011,21816,22382,21816,22382,50,,85,,0,,0,,,September 2003,2003
JACKIES BUTTE,OR0015,120900,123767,65211,65251,150,,145,,0,,0,,,September 2000,2003
KIGER,OR0010,26863,38359,26626,30300,82,,128,,0,,0,,,November 2003,2004
LIGGETT TABLE,OR0037,28139,28853,28139,28853,25,,32,,0,,0,,,July 2006,2006
PAISLEY DESERT,OR0001,328050,335748,297764,303974,150,,170,,0,,0,,,November 2003,2004
PALOMINO BUTTES,OR0006,85200,98005,71415,74231,64,,43,,0,,0,,,September 2005,2005
POKEGAMA,OR0018,15903,70506,15903,70506,50,,43,,0,,0,,,June 2000,2002
RIDDLE MOUNTAIN,OR0009,29858,101668,28239,32665,56,,66,,0,,0,,,September 2003,2003
SAND SPRINGS,OR0017,193052,207253,193052,207253,200,,35,,0,,0,,,September 2006,2006
SHEEPSHEAD/HEATH CREEK (3),OR0016,198749,205276,198749,205276,302,,300,,0,,0,,,January 2002,2002
SOUTH STEENS,OR0003,186348,280715,126424,134458,304,,229,,0,,0,,,November 2004,2005
STINKINGWATER,OR0008,78196,92121,78196,92121,80,,48,,0,,0,,,September 2005,2005
THREE FINGERS,OR0012,82259,92682,61893,71486,150,,75,,0,,0,,,August 2006,2006
WARM SPRINGS,OR0007,474196,499454,474196,499454,202,,123,,25,,15,,,September 2006,2006
MURDERERS CREEK*,OR0019,33944,65809,33944,65809,35,,97,,0,,0,,,February 2005,2005
ALVORD TULE SPRINGS,OR0005,0,0,,,,,0,,,,0,,,,
ATTURBURY,OR0028,7837,9614,,,,,0,,,,0,,,,
BASQUE,OR0025,8555,9379,,,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35473,139011,,,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7782,8043,,,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24282,24749,,,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41025,54517,,,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111725,195954,,,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (in OR0016),OR0004,0,0,,,,,0,,,,0,,,,
LAKERIDGE,OR0023,3978,4355,,,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37339,43282,,,,,0,,,,0,,,,
MORGER,OR0030,184,26854,,,,,0,,,,0,,,,
POTHOLES,OR0024,9225,10257,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,229486,232806,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14779,39002,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9159,9704,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42457,97218,,,,,0,,,,0,,,,
STOCKADE,OR0029,32138,48203,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS,OR000Z,,,,,,,0,,,,0,,,November 1995,
BIBLE SPRING (3),UT0440,139464,156535,136256,152562,60,,40,,0,,0,,,October 2005,2006
CANYON LANDS,UT0571,77253,87701,77253,87701,0,,0,,100,,83,,,May 1984,2003
CEDAR MOUNTAIN,UT0241,300032,411623,197252,211585,390,,355,,0,,0,,,September 2004,2004
CHLORIDE CANYON,UT0442,44285,65408,42560,63683,30,,59,,0,,0,,,July 2004,2004
CHOKE CHERRY,UT0443,39760,48120,39171,47520,30,,20,,0,,0,,,February 2007,2007
CONFUSION,UT0552,255753,293523,255753,293523,115,,142,,0,,0,,,September 2004,2004
CONGER,UT0553,151504,170942,151504,170942,80,,70,,0,,0,,,August 2006,2006
FOUR MILE (3),UT0444,52984,61273,50857,58710,60,,35,,0,,0,,,October 2005,2006
FRISCO,UT0445,48743,60366,46508,58003,60,,54,,0,,0,,,August 2006,2006
HILL CREEK,UT0852,103206,136125,54245,87164,195,,310,,0,,0,,,July 2003,2003
KINGTOP,UT0554,161566,171464,161566,171464,40,,10,,0,,0,,,August 2000,2002
MOUNT ELINOR,UT0446,37370,42610,34036,38163,25,,15,,0,,0,,,February 2007,2007
MUDDY CREEK,UT0651,168853,190732,168853,190732,50,,74,,0,,0,,,July 2001,2001
NORTH HILLS**,UT0447,50075,60609,40647,49860,36,,52,,0,,0,,,July 2002,2002
ONAQUI MOUNTAIN,UT0242,375847,507588,206795,240046,210,,166,,0,,0,,,August 2005,2005
RANGE CREEK,UT0641,54630,78640,54630,78640,125,,76,,0,,0,,,July 2006,2006
ROBBERS ROOST,UT0653,150755,169906,150755,169906,25,,21,,0,,0,,,August 2003,2003
SINBAD,UT0652,203767,230597,203767,230597,50,,65,,70,,112,,,September 2001,2001
SULPHUR,UT0448,230125,267117,230125,265621,250,,413,,0,,0,,,August 2006,2003
SWASEY,UT0555,128174,134955,128174,134955,100,,250,,0,,0,,,September 2003,2003
TILLY CREEK (3),UT0449,32974,37006,32019,35963,50,,40,,0,,0,,,September 2002,2002
BLAWN WASH (4),UT0441,35744,62787,,,,,35,,,,0,,,October 2005,
BONANZA,UT0851,120580,141804,,,,,0,,,,0,,,November 2001,
