HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
PALMETTO,NV0624,117577,702,117577,702,,,0,,0,,0,,,,
PAYMASTER,NV0621,99919,672,99919,672,,,0,,0,,0,,,October 2006,2007
PILOT MOUNTAIN,NV0314,475449,1687,475449,1687,,,0,,0,,0,,,July 2006,2006
PINE NUT MOUNTAINS,NV0305,182668,69225,94694,9624,,,0,,0,,0,,,July 2003,2003
RATTLESNAKE,NV0523,71433,0,71433,0,,,0,,0,,0,,,December 2006,2007
RED ROCK**,NV0504,157251,4721,157251,4721,,,49,,0,,47,,,March 2007,2007
REVEILLE,NV0619,387558,997,104515,979,,,0,,0,,0,,,February 2007,2007
ROBERTS MOUNTAIN,NV0607,221927,3981,99322,670,,,0,,0,,0,,,January 2008,2008
ROCK CREEK,NV0103,145143,38357,98526,22902,,,0,,0,,0,,,May 2007,2007
ROCKY HILLS,NV0605,81477,2531,81477,2531,,,0,,0,,0,,,November 1999,2001
SAND SPRINGS EAST,NV0405,481220,505,481220,505,,,0,,0,,0,,,February 2006,2006
SAND SPRINGS WEST,NV0630,173349,16,157438,0,,,0,,0,,0,,,January 2006,2006
SAULSBURY**,NV0620,143397,870,135261,36,,,0,,0,,0,,,January 2007,2007
SEAMAN,NV0411,359351,1884,359351,1884,,,0,,0,,0,,,September 1996,2001
SEVEN MILE**,NV0613,104001,880,96771,880,,,0,,0,,0,,,February 2006,2006
SEVEN TROUGHS,NV0216,131409,17474,131388,17474,,,46,,0,,52,,,December 2005,2006
SHAWAVE MOUNTAINS,NV0218,87790,19288,87790,19288,,,0,,0,,0,,,December 2005,2006
SILVER PEAK,NV0623,239701,2473,239701,2473,,,0,,0,,2,,,October 2006,2007
SNOWSTORM MOUNTAINS,NV0201,103469,13368,103469,13368,,,0,,0,,0,,,September 2006,2006
SOUTH SHOSHONE,NV0601,142761,8163,128238,4860,,,0,,0,,0,,,January 2008,2008
SOUTH STILLWATER,NV0309,9773,0,9773,0,,,0,,0,,0,,,,2005
SPRUCE-PEQUOP,NV0109,309466,19421,,,,,144,,0,,0,,,January 2005,2005
STONE CABIN**,NV0618,405855,4227,,,,,171,,0,,0,,,January 2007,2007
STONEWALL,NV0627,23782,106,,,,,0,,8,,20,,,June 1996,2001
TOBIN RANGE,NV0231,187163,11099,,,,,239,,0,,0,,,,
WARM SPRINGS CANYON,NV0226,90866,841,,,,,607,,24,,23,,,November 2004,2005
WASSUK,NV0312,51616,128,,,,,150,,0,,0,,,September 2003,2003
WHEELER PASS**,NV0507,273260,3644,,,,,34,,35,,23,,,January 2008,2008
WHISTLER MOUNTAIN,NV0608,42664,582,,,,,5,,0,,0,,,January 2008,2008
WHITE RIVER,NV0409,118633,0,,,,,95,,0,,0,,,February 2005,2005
WILSON CREEK,NV0404,670786,15704,,,,,386,,0,,0,,,February 2007,2007
HICKISON SUMMIT*,NV0610,63334,0,,,,,0,,45,,43,,,,
MONTGOMERY PASS*,NV0317,76331,2872,,,,,55,,0,,0,,,,
NORTH MONITOR*,NV0611,11277,235,,,,,10,,0,,0,,,February 2006,2006
ANTELOPE RANGE,NV0211,82068,49515,,,,,4,,,,0,,,October 1999,
AUSTIN (in NV0604),NV0687,0,0,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44876,29203,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BULTER BASIN*,NV0686,10342,3,,,,,0,,,,0,,,,
CAVE VALLEY (in NV0410),NV0493,0,0,,,,,0,,,,0,,,,
DOBBIN SUMMIT***,NV0615,19189,118,,,,,0,,,,0,,,,
DUNLAP (in NV0314),NV0690,4296,0,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321615,130286,,,,,24,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49197,36896,,,,,0,,,,0,,,June 1993,
FORTIFICATION (in NV0404),NV0496,0,0,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (in NV314),NV0315,0,0,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (in NV0411),NV0494,0,0,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,0,0,,,,,0,,,,0,,,,
GRASS VALLEY (in NV0604),NV0689,0,0,,,,,0,,,,0,,,,
HORSE SPRING,NV0307,15280,10415,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47870,20309,,,,,0,,,,15,,,,
HUMBOLDT,NV0224,217069,214481,,,,,38,,,,0,,,July 1993,
IONE,NV0691,168434,540,,,,,0,,,,0,,,,
KOBEH VALLEY (in NV0608 & NV0612),NV0698,29065,1917,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,34793,29399,,,,,0,,,,0,,,December 1985,
LAST CHANCE (in NV0510),NV0527,6352,22591,,,,,0,,,,0,,,,
LOWER PARADISE VALLEY,NV0233,17327,27568,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,,,,,,0,,,,0,,,,
MAVRICK-BUTTE (in NV0403),NV0491,,0,,,,,0,,,,0,,,,
MONITOR (All claimed - not mapped),NV0617,,0,,,,,0,,,,0,,,,
BORDO ATRAVESADO,NM0001,16486,3128,16486,3128,60,,85,,0,,0,,,August 2005,2005
CARRACAS MESA*(3),NM0003,8019,979,8019,979,23,,12,,0,,0,,,,
GODFREY HILLS,NM0002,9405,17701,,,,,0,,,,0,,,,
PUNCHE VALLEY,NM0004,54743,16066,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,NM000Z,,,,,,,0,,,,0,,,April 1995,
BEATYS BUTTE,OR0002,399185,38837,399185,38837,250,,474,,0,,0,,,August 2007,2004
COLD SPRING,OR0013,29877,2788,29877,2788,150,,108,,0,,0,,,July 2005,2005
COYOTE LAKE/ALVORD TULE SPRINGS,OR0014,611976,46976,552780,35649,390,,278,,0,,0,,,February 2006,2006
HOG CREEK,OR0011,21816,566,21816,566,50,,102,,0,,0,,,September 2003,2003
JACKIES BUTTE,OR0015,120900,2867,65211,40,150,,75,,0,,0,,,October 2007,2008
KIGER,OR0010,26863,11496,26626,3674,82,,51,,0,,0,,,October 2007,2008
LIGGETT TABLE,OR0037,28139,714,28139,714,25,,38,,0,,0,,,July 2006,2006
PAISLEY DESERT,OR0001,328050,7698,297764,6210,150,,204,,0,,0,,,November 2003,2004
PALOMINO BUTTES,OR0006,85200,12805,71415,2816,64,,51,,0,,0,,,September 2005,2005
POKEGAMA,OR0018,15903,54603,15903,54603,50,,50,,0,,0,,,June 2000,2002
RIDDLE MOUNTAIN,OR0009,29858,71810,28239,4426,56,,33,,0,,0,,,October 2007,2008
SAND SPRINGS,OR0017,193052,14201,193052,14201,200,,42,,0,,0,,,September 2006,2006
SHEEPSHEAD/HEATH CREEK (3),OR0016,198749,6527,198749,6527,302,,360,,0,,0,,,January 2002,2002
SOUTH STEENS,OR0003,186348,94367,126424,8034,304,,274,,0,,0,,,November 2004,2005
STINKINGWATER,OR0008,78196,13925,78196,13925,80,,58,,0,,0,,,September 2005,2005
THREE FINGERS,OR0012,82259,10423,61893,9593,150,,90,,0,,0,,,August 2006,2006
WARM SPRINGS,OR0007,474196,25258,474196,25258,202,,132,,25,,15,,,September 2006,2006
MURDERERS CREEK*,OR0019,33944,31865,33944,31865,35,,38,,0,,0,,,January 2008,2005
ALVORD TULE SPRINGS,OR0005,0,0,0,0,,,0,,,,0,,,,
ATTURBURY,OR0028,7837,1777,0,0,,,0,,,,0,,,,
BASQUE,OR0025,8555,824,0,0,,,0,,,,0,,,,
CHERRY CREEK,OR0021,35473,103538,0,0,,,0,,,,0,,,,
COTTONWOOD BASIN,OR0026,7782,261,0,0,,,0,,,,0,,,,
COTTONWOOD CREEK,OR0027,24282,467,0,0,,,0,,,,0,,,,
DIAMOND CRATERS,OR0031,41025,13492,0,0,,,0,,,,0,,,,
EAST WAGONTIRE,OR0034,111725,84229,0,0,,,0,,,,0,,,,
HEATH CREEK-SHEEPSHEAD (in OR0016),OR0004,0,0,0,0,,,0,,,,0,,,,
LAKERIDGE,OR0023,3978,377,0,0,,,0,,,,0,,,,
MIDDLE FORK,OR0032,37339,5943,0,0,,,0,,,,0,,,,
MORGER,OR0030,184,26670,0,0,,,0,,,,0,,,,
POTHOLES,OR0024,9225,1032,,,,,0,,,,0,,,December 1990,
PUEBLO-LONE MOUNTAIN,OR0036,229486,3320,,,,,0,,,,0,,,November 1992,
RHODES CANYON,OR0022,14779,24223,,,,,0,,,,0,,,,
SECOND FLAT,OR0033,9159,545,,,,,0,,,,0,,,,
SOUTH CATLOW,OR0035,42457,54761,,,,,0,,,,0,,,,
STOCKADE,OR0029,32138,16065,,,,,0,,,,0,,,,
OUTSIDE HERD AREAS,OR000Z,,,,,,,0,,,,0,,,November 1995,
BIBLE SPRING (3),UT0440,53506,4750,53380,4509,60,,101,,0,,0,,,October 2005,2006
CANYON LANDS,UT0571,77253,10448,77253,10448,0,,0,,100,,70,,,May 1984,2003
CEDAR MOUNTAIN,UT0241,300032,111591,197252,14333,390,,531,,0,,0,,,September 2004,2004
CHLORIDE CANYON,UT0442,44285,21123,42560,21123,30,,41,,0,,0,,,July 2004,2004
CHOKE CHERRY,UT0443,39760,8360,39171,8349,30,,25,,0,,0,,,February 2007,2007
CONFUSION,UT0552,255753,37770,255753,37770,115,,186,,0,,0,,,September 2004,2004
CONGER,UT0553,151504,19438,151504,19438,80,,84,,0,,0,,,August 2006,2006
FOUR MILE (3),UT0444,52984,8289,50857,7853,60,,90,,0,,0,,,October 2005,2006
FRISCO,UT0445,48743,11623,46508,11495,60,,65,,0,,0,,,August 2006,2006
HILL CREEK,UT0852,103206,32919,54245,32919,195,,310,,0,,0,,,July 2003,2003
KINGTOP,UT0554,161566,9898,161566,9898,40,,10,,0,,0,,,August 2000,2002
MOUNT ELINOR,UT0446,37370,5240,34036,4127,25,,18,,0,,0,,,February 2007,2007
MUDDY CREEK,UT0651,168853,21879,168853,21879,50,,105,,0,,0,,,July 2001,2001
NORTH HILLS**,UT0447,50075,10534,40647,9213,36,,28,,0,,0,,,July 2007,2007
ONAQUI MOUNTAIN,UT0242,375847,131741,206795,33251,210,,190,,0,,0,,,August 2005,2005
RANGE CREEK,UT0641,54630,24010,54630,24010,125,,91,,0,,0,,,July 2006,2006
ROBBERS ROOST,UT0653,150755,19151,150755,19151,25,,23,,0,,0,,,August 2003,2003
SINBAD,UT0652,203767,26830,203767,26830,50,,85,,70,,134,,,September 2001,2001
SULPHUR,UT0448,230125,36992,230125,35496,250,,435,,0,,0,,,August 2006,2003
SWASEY,UT0555,128174,6781,128174,6781,100,,114,,0,,0,,,July 2007,2007
TILLY CREEK (3),UT0449,32974,4032,32019,3944,50,,45,,0,,0,,,September 2002,2002
BLAWN WASH (4),UT0441,35744,27043,,,,,81,,,,0,,,July 2007,
BONANZA,UT0851,120580,21224,,,,,0,,,,0,,,November 2001,
BURBANK,UT0551,58447,7016,,,,,0,,,,0,,,,
HARVEYS FEAR,UT0461,18099,0,,,,,15,,,,0,,,June 1985,
MOODY-WAGON BOX MESA,UT0481,71452,0,,,,,0,,,,0,,,,
OQUIRRH MOUNTAIN,UT0243,80489,50253,,,,,5,,,,0,,,January 1995,
WINTER RIDGE,UT0853,38916,7508,,,,,180,,,,0,,,July 2003,
BIG CREEK***,UT0244,5331,412,,,,,0,,,,,,,,
OUTSIDE HERD AREAS,UT000Z,,0,,,,,34,,,,0,,,July 2005,
ADOBE TOWN,WY0009,444321,34757,444321,34757,800,,498,,0,,0,,,September 2007,2007
ANTELOPE HILLS,WY0031,156233,9252,150896,7796,82,,106,,0,,0,,,October 2004,2005
CONANT CREEK,WY0029,50518,8313,49528,8190,100,,127,,0,,0,,,October 2004,2005
CROOKS MOUNTAIN,WY0036,75821,8045,54726,3698,85,,72,,0,,0,,,September 2006,2006
DISHPAN BUTTE,WY0028,101425,8910,92275,7466,100,,108,,0,,0,,,September 2007,2007
DIVIDE BASIN,WY0002,561453,217507,561453,217507,600,,415,,0,,0,,,September 2007,2007
FIFTEENMILE,WY0011,218077,44098,68673,12536,160,,240,,0,,0,,,July 2004,2004
GREEN MOUNTAIN,WY0037,115959,26950,99311,17363,300,,201,,0,,0,,,August 2006,2006
LITTLE COLORADO,WY0039,530698,105020,527307,105020,100,,69,,0,,0,,,November 2007,2008
LOST CREEK,WY0035,236353,15041,236353,15041,82,,138,,0,,0,,,August 2006,2006
MCCULLOUGH PEAKS,WY0012,118665,30631,103920,5928,140,,165,,0,,0,,,October 2004,2005
MUSKRAT BASIN,WY0027,180939,20585,176340,16922,250,,341,,0,,0,,,October 2004,2005
ROCK CREEK MOUNTIAN,WY0026,19125,5483,19100,5483,86,,104,,0,,0,,,September 2001,2001
SALT WELLS CREEK,WY0001,918317,516502,688632,483993,365,,379,,0,,0,,,January 2007,2007
STEWART CREEK,WY0033,184745,29330,157514,10329,175,,171,,0,,0,,,August 2006,2006
WHITE MOUNTAIN,WY0003,207981,185092,207981,185092,300,,205,,0,,0,,,November 2007,2008
ALKALI SPRING CREEK,WY0020,2522,2659,,,,,0,,,,0,,,,
ARAPAHO CREEK,WY0034,168558,17160,,,,,0,,,,0,,,,
BOLTEN,WY0025,61714,83681,,,,,0,,,,0,,,,
CARTER LEASE,WY0017,123254,173299,,,,,0,,,,0,,,,
CHECKERBOARD SOUTH,WY0040,324123,357472,,,,,0,,,,0,,,,
